&nbsp;,Time,Freq.,RSSI,SNR,TxPwr,CRC,mod.,CR,DataRate,FCnt,AirTime,DevAddr,FPort,Payload Size,MAC Command
Unconfirmed Data Up,18:50:21,867.5,-45,10.25,-,CRC_OK,LORA,'4/5',SF7BW125,8862,'67',01E4AF00,3,17,,<span class="pkt_l_i">Payload</span><span>03 6D 0F 6B B1 18 8E F9 04 6B DF 5C 3A D9 2C CD A8 </span>
Unconfirmed Data Up,18:50:21,867.5,-44,10.75,-,CRC_OK,LORA,'4/5',SF7BW125,8861,'67',01E4AF00,3,17,,<span class="pkt_l_i">Payload</span><span>03 0F B5 88 B8 66 56 31 01 D1 AB 2D 4D 8D BB D8 2F </span>
Unconfirmed Data Up,18:50:21,867.5,-43,8.75,-,CRC_OK,LORA,'4/5',SF7BW125,8860,'67',01E4AF00,3,17,,<span class="pkt_l_i">Payload</span><span>03 76 2C 84 60 20 72 DA F0 43 88 79 61 B4 56 4B 4C </span>
Unconfirmed Data Up,18:50:21,867.5,-44,11,-,CRC_OK,LORA,'4/5',SF7BW125,8859,'67',01E4AF00,3,17,,<span class="pkt_l_i">Payload</span><span>03 77 63 FF F9 2C 9C 0E 39 73 AE E3 03 01 AA 0A 86 </span>
Unconfirmed Data Up,18:50:21,867.5,-44,10.25,-,CRC_OK,LORA,'4/5',SF7BW125,8858,'67',01E4AF00,3,17,,<span class="pkt_l_i">Payload</span><span>03 D1 56 E8 96 A9 D2 53 D4 B4 EF 3D 3B 2A 61 29 3A </span>
Unconfirmed Data Up,18:49:21,867.5,-44,11,-,CRC_OK,LORA,'4/5',SF7BW125,8857,'67',01E4AF00,3,17,,<span class="pkt_l_i">Payload</span><span>03 58 67 3F 5E D6 9B A7 E9 87 61 6F E5 9B 1A 2C 35 </span>
Unconfirmed Data Up,18:49:21,867.5,-45,10.25,-,CRC_OK,LORA,'4/5',SF7BW125,8856,'67',01E4AF00,3,17,,<span class="pkt_l_i">Payload</span><span>03 05 76 C9 7B 0C B8 4F 2D BA 07 1F 38 0A DE 8D CA </span>
Unconfirmed Data Up,18:49:21,867.5,-44,10.25,-,CRC_OK,LORA,'4/5',SF7BW125,8855,'67',01E4AF00,3,17,,<span class="pkt_l_i">Payload</span><span>03 1D 64 01 0C E9 50 74 D2 D4 10 18 44 6B 9A 12 DD </span>
Unconfirmed Data Up,18:49:21,867.5,-45,10,-,CRC_OK,LORA,'4/5',SF7BW125,8854,'67',01E4AF00,3,17,,<span class="pkt_l_i">Payload</span><span>03 8E 04 2E 27 FE C1 3E 08 C9 2D 62 93 0F A7 6E D3 </span>
Unconfirmed Data Up,18:49:21,867.5,-44,10.5,-,CRC_OK,LORA,'4/5',SF7BW125,8853,'67',01E4AF00,3,17,,<span class="pkt_l_i">Payload</span><span>03 63 55 56 C9 41 53 23 5B FB 08 55 27 B1 BB 5C 8B </span>
Unconfirmed Data Up,18:49:21,867.5,-44,10.5,-,CRC_OK,LORA,'4/5',SF7BW125,8852,'67',01E4AF00,3,17,,<span class="pkt_l_i">Payload</span><span>03 D1 48 AA B3 B5 07 9C DC 68 E5 8A 44 2A 61 21 26 </span>
Unconfirmed Data Up,18:47:21,867.5,-44,10.75,-,CRC_OK,LORA,'4/5',SF7BW125,8845,'67',01E4AF00,3,17,,<span class="pkt_l_i">Payload</span><span>03 6E 0F CF E5 90 97 EC 5D D2 AB 8C B3 86 FC 47 E7 </span>
Unconfirmed Data Up,18:47:21,867.5,-43,8.75,-,CRC_OK,LORA,'4/5',SF7BW125,8844,'67',01E4AF00,3,17,,<span class="pkt_l_i">Payload</span><span>03 27 11 78 89 4E B2 13 48 86 13 66 43 80 0A 82 85 </span>
Unconfirmed Data Up,18:47:21,867.5,-43,9,-,CRC_OK,LORA,'4/5',SF7BW125,8843,'67',01E4AF00,3,17,,<span class="pkt_l_i">Payload</span><span>03 D9 36 DB 1A 55 C1 D8 8F 50 F6 7C 68 78 54 4E DC </span>
